Official Symbol Interactor A,Official Symbol Interactor B,Interactor A Encoded,Interactor B Encoded,Prediction_Prob,Prediction
YWHAE,PCDHB15,2634,1689,0.99,1
YWHAE,TTLL1,2634,2467,1.0,1
YWHAE,TTK,2634,2466,1.0,1
YWHAE,TRPC5,2634,2443,0.99,1
YWHAE,HTRA2,2634,1132,0.99,1
YWHAE,HSP90AA5P,2634,1121,1.0,1
YWHAE,HTT,2634,1133,1.0,1
YWHAE,TRPV4,2634,2445,0.99,1
YWHAE,PCDH15,2634,1685,0.99,1
YWHAE,PIGS,2634,1749,0.98,1
YWHAE,HSPA1L,2634,1125,1.0,1
YWHAE,KIF9,2634,1282,1.0,1
YWHAE,PAPOLA,2634,1676,1.0,1
YWHAE,TTR,2634,2477,1.0,1
YWHAE,TUBB,2634,2484,0.99,1
YWHAE,YTHDF3,2634,2633,1.0,1
YWHAE,TTC21A,2634,2458,0.99,1
YWHAE,PCDHA4,2634,1687,0.99,1
YWHAE,PCGF1,2634,1693,1.0,1
YWHAE,CSNK2A3,2634,572,1.0,1
YWHAE,TSPAN31,2634,2449,0.99,1
YWHAE,PARP15,2634,1679,1.0,1
YWHAE,PCDHGA1,2634,1690,0.99,1
YWHAE,TRIM36,2634,2429,1.0,1
YWHAE,CSNK1D,2634,569,1.0,1
YWHAE,PBX1,2634,1683,0.99,1
YWHAE,PIH1D2,2634,1750,0.98,1
YWHAE,TSNAXIP1,2634,2448,0.99,1
YWHAE,CTD-2373H9.6,2634,584,0.99,1
YWHAE,YWHAG,2634,2635,1.0,1
YWHAE,TTC8,2634,2465,1.0,1
YWHAE,TRIB2,2634,2426,1.0,1
YWHAE,PCGF6,2634,1694,1.0,1
YWHAE,TRPT1,2634,2444,0.99,1
YWHAE,PAGR1,2634,1669,0.98,1
YWHAE,TTC12,2634,2456,0.99,1
YWHAE,PARD6A,2634,1678,1.0,1
YWHAE,TSSC1,2634,2452,0.99,1
YWHAE,TRMT12,2634,2437,1.0,1
