Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
HSP90AA1,GO:0005515,PMID:25416956,IPI,UniProtKB:P61247,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25486457,IPI,UniProtKB:O95433|UniProtKB:Q13490|UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161011,UniProt,,,
HSP90AA1,GO:0005515,PMID:25609649,IPI,UniProtKB:P05412,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,GO:0000785,,
HSP90AA1,GO:0005515,PMID:25609812,IPI,UniProtKB:O94826|UniProtKB:Q07812|UniProtKB:Q14653,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20201103,UniProt,,,
HSP90AA1,GO:0005515,PMID:25738358,IPI,UniProtKB:Q9H7B4,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170102,UniProt,,,
HSP90AA1,GO:0005515,PMID:26496610,IPI,UniProtKB:P53041,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:26496610,IPI,UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:26517842,IPI,UniProtKB:P04626|UniProtKB:P08581|UniProtKB:Q00613|UniProtKB:Q14145|UniProtKB:Q16665|UniProtKB:Q9BYZ6,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170102,UniProt,,,
HSP90AA1,GO:0005515,PMID:26754925,IPI,UniProtKB:Q00613,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161205,UniProt,,,
HSP90AA1,GO:0005515,PMID:27086506,IPI,UniProtKB:Q6VAB6,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
