Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
Hsp90ab1,GO:0042470,GO_REF:0000044|RGD:1600115,IEA,UniProtKB-SubCell:SL-0161,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240408,UniProt,,UniProtKB:A0A8I6AKS6,
Hsp90ab1,GO:0042802,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240406,RGD,,,
Hsp90ab1,GO:0042803,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0042803,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170110,RGD,,,
Hsp90ab1,GO:0042826,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0042826,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20151117,RGD,,,
Hsp90ab1,GO:0043008,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0043008,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170110,RGD,,,
Hsp90ab1,GO:0043025,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0043025,RGD:1624291,ISO,MGI:96247,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20180227,RGD,,,
Hsp90ab1,GO:0043066,RGD:1624291,ISO,MGI:96247,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20151015,RGD,,,
Hsp90ab1,GO:0043066,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9622851,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9624154,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9625160,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9625173,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9625183,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9626028,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9626030,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9626236,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9626239,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9626250,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9626254,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043202,RGD:1600115|Reactome:R-RNO-9626275,TAS,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20181002,Reactome,,,
Hsp90ab1,GO:0043524,PMID:18443201|RGD:4108490,IMP,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20120130,RGD,,,
Hsp90ab1,GO:0044183,PMID:17517623|RGD:13514081,IMP,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240320,ARUK-UCL,,,
Hsp90ab1,GO:0044183,RGD:1624291,ISO,MGI:96247,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20190628,RGD,,,
Hsp90ab1,GO:0044294,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
